SchoolYear,County,Began Grade 9 in Washington,Transferred Into Washington,Dropouts Year 1,Dropouts Year 2,Dropouts Year 3,Dropouts Year 4,Dropouts Year 5,Transferred Out,Adjusted Cohort,Graduates,Continuing,Adjusted 5-Year Cohort Graduation Rate,Cohort dropout rate,Continuing Rate
2013-14,Adams,2,0,0,0,0,0,0,0,2,2,0,100.0,0.0,0.0
2013-14,Asotin,2,5,0,0,0,1,0,2,5,2,2,40.0,20.0,40.0
2013-14,Benton,36,12,0,0,4,3,1,8,40,32,0,80.0,20.0,0.0
2013-14,Chelan,22,2,0,1,1,4,0,3,21,15,0,71.4,28.6,0.0
2013-14,Clallam,99,23,8,0,5,11,15,13,109,60,10,55.0,35.8,9.2
2013-14,Clark,257,51,1,6,10,19,22,31,277,210,9,75.8,20.9,3.2
2013-14,Columbia,0,0,0,0,0,0,0,0,0,0,0,n/a,n/a,n/a
2013-14,Cowlitz,96,12,1,1,4,2,7,16,92,74,3,80.4,16.3,3.3
2013-14,Douglas,18,4,1,0,0,1,0,0,22,19,1,86.4,9.1,4.5
2013-14,Ferry,7,0,0,0,0,1,0,1,6,5,0,83.3,16.7,0.0
2013-14,Franklin,9,1,0,0,0,0,0,1,9,9,0,100.0,0.0,0.0
2013-14,Garfield,0,1,0,0,0,1,0,0,1,0,0,0.0,100.0,0.0
2013-14,Grant,21,7,0,0,0,2,1,2,26,21,2,80.8,11.5,7.7
2013-14,Grays Harbor,34,3,0,2,4,1,2,3,34,25,0,73.5,26.5,0.0
2013-14,Island,7,10,0,0,0,2,1,6,11,7,1,63.6,27.3,9.1
2013-14,Jefferson,13,1,0,0,1,1,0,1,13,10,1,76.9,15.4,7.7
2013-14,King,986,149,3,10,24,70,62,96,1039,823,47,79.2,16.3,4.5
2013-14,Kitsap,326,43,1,1,2,11,17,39,330,294,4,89.1,9.7,1.2
2013-14,Kittitas,8,2,0,0,0,1,0,2,8,6,1,75.0,12.5,12.5
2013-14,Klickitat,12,7,0,1,1,0,0,6,13,11,0,84.6,15.4,0.0
2013-14,Lewis,64,3,0,2,1,2,4,5,62,50,3,80.6,14.5,4.8
2013-14,Lincoln,6,0,0,0,0,1,0,1,5,4,0,80.0,20.0,0.0
2013-14,Mason,56,4,1,1,0,0,3,6,54,48,1,88.9,9.3,1.9
2013-14,Okanogan,14,4,0,0,0,1,1,4,14,11,1,78.6,14.3,7.1
2013-14,Pacific,21,2,0,0,0,4,1,3,20,15,0,75.0,25.0,0.0
2013-14,Pend Oreille,7,1,0,0,1,0,0,0,8,7,0,87.5,12.5,0.0
2013-14,Pierce,545,114,1,9,21,36,25,87,572,467,13,81.6,16.1,2.3
2013-14,San Juan,6,1,0,0,0,0,1,3,4,3,0,75.0,25.0,0.0
2013-14,Skagit,32,12,0,1,2,6,7,5,39,18,5,46.2,41.0,12.8
2013-14,Skamania,7,3,1,1,0,0,0,3,7,5,0,71.4,28.6,0.0
2013-14,Snohomish,550,46,0,2,13,13,40,68,528,436,24,82.6,12.9,4.5
2013-14,Spokane,356,63,0,5,12,24,17,48,371,303,10,81.7,15.6,2.7
2013-14,Stevens,19,3,0,0,2,3,0,3,19,14,0,73.7,26.3,0.0
2013-14,Thurston,185,36,0,0,4,17,7,34,187,156,3,83.4,15.0,1.6
2013-14,Wahkiakum,2,0,0,0,0,0,0,1,1,1,0,100.0,0.0,0.0
2013-14,Walla Walla,22,3,0,0,0,2,0,2,23,21,0,91.3,8.7,0.0
2013-14,Whatcom,80,7,0,1,4,5,5,4,83,66,2,79.5,18.1,2.4
2013-14,Whitman,16,1,0,0,0,2,0,1,16,14,0,87.5,12.5,0.0
2013-14,Yakima,67,17,1,1,6,6,4,7,77,54,5,70.1,23.4,6.5